YearID,MonthID,MNo,Total
2008,9,163,2
2008,10,6,1
2008,10,163,5
2008,10,165,2
2008,11,163,3
2008,11,165,2
2008,12,162,1
2008,12,163,1
2008,12,165,2
2009,1,165,4
2009,2,6,1
2009,2,158,1
2009,2,165,3
2009,3,6,3
2009,3,163,1
2009,3,165,1
2009,4,6,2
2009,4,160,1
2009,4,165,1
2009,5,76,3
2009,5,163,1
2009,5,176,1
2009,5,177,2
2009,6,6,1
2009,6,76,1
2009,6,163,1
2009,6,165,1
2009,6,170,1
2009,6,176,2
2009,7,76,1
2009,7,84,1
2009,7,177,7
2009,7,184,1
2009,8,125,1
2009,8,141,1
2009,8,165,3
2009,8,176,3
2009,8,177,1
2009,8,184,1
2009,9,163,1
2009,9,165,3
2009,9,176,3
2009,9,177,4
2009,9,184,3
2009,10,125,1
2009,10,163,2
2009,10,165,4
2009,10,166,3
2009,10,176,18
2009,10,184,1
2009,10,200,1
2009,11,114,1
2009,11,125,1
2009,11,163,1
2009,11,165,6
2009,11,166,1
2009,11,176,34
2009,11,177,8
2009,11,184,2
2009,11,185,1
2009,11,193,2
2009,11,194,1
2009,11,200,1
2009,11,202,1
2009,12,113,1
2009,12,114,1
2009,12,137,1
2009,12,163,3
2009,12,165,1
2009,12,176,31
2009,12,177,10
2009,12,178,1
2009,12,184,3
2009,12,190,2
2009,12,200,1
2009,12,202,1
2010,1,20,1
2010,1,113,4
2010,1,114,3
2010,1,125,1
2010,1,127,1
2010,1,136,1
2010,1,140,1
2010,1,165,3
2010,1,176,31
2010,1,177,7
2010,1,183,2
2010,1,184,4
2010,1,187,4
2010,1,193,2
2010,1,197,1
2010,1,200,2
2010,2,113,2
2010,2,114,3
2010,2,125,1
2010,2,135,1
2010,2,140,2
2010,2,163,1
2010,2,165,3
2010,2,176,29
2010,2,177,8
2010,2,184,2
2010,2,187,1
2010,2,193,1
2010,2,197,1
2010,2,200,3
2010,3,20,1
2010,3,76,2
2010,3,114,4
2010,3,125,1
2010,3,127,1
2010,3,135,3
2010,3,140,1
2010,3,141,1
2010,3,163,1
2010,3,165,1
2010,3,176,25
2010,3,177,6
2010,3,182,1
2010,3,183,1
2010,3,184,6
2010,3,200,1
2010,3,201,1
2010,3,202,1
2010,4,76,1
2010,4,113,6
2010,4,114,3
2010,4,115,1
2010,4,125,1
2010,4,137,1
2010,4,138,1
2010,4,176,19
2010,4,177,7
2010,4,183,2
2010,4,184,8
2010,4,185,1
2010,4,190,1
2010,4,193,1
2010,4,202,1
2010,4,203,2
2010,5,7,1
2010,5,113,2
2010,5,114,2
2010,5,140,1
2010,5,152,4
2010,5,176,36
2010,5,177,5
2010,5,182,1
2010,5,184,3
2010,5,203,1
2010,6,113,4
2010,6,114,2
2010,6,117,1
2010,6,129,1
2010,6,141,1
2010,6,163,1
2010,6,165,3
2010,6,176,65
2010,6,177,5
2010,6,182,1
2010,6,183,1
2010,6,184,8
2010,6,185,1
2010,6,193,2
2010,6,197,1
2010,6,201,1
2010,6,203,1
2010,7,20,3
2010,7,114,3
2010,7,125,2
2010,7,136,1
2010,7,140,1
2010,7,141,1
2010,7,176,50
2010,7,177,2
2010,7,183,1
2010,7,184,14
2010,7,185,1
2010,7,186,2
2010,7,193,2
2010,7,197,1
2010,7,218,1
2010,7,224,2
2010,8,20,2
2010,8,113,1
2010,8,114,8
2010,8,140,1
2010,8,176,77
2010,8,177,4
2010,8,182,1
2010,8,183,1
2010,8,184,7
2010,8,197,2
2010,8,200,1
2010,8,203,2
2010,8,205,1
2010,8,208,1
2010,8,209,1
2010,8,223,1
2010,8,224,1
2010,9,20,1
2010,9,113,2
2010,9,114,2
2010,9,115,1
2010,9,125,1
2010,9,127,3
2010,9,129,1
2010,9,135,1
2010,9,141,1
2010,9,176,45
2010,9,177,2
2010,9,182,1
2010,9,183,3
2010,9,184,6
2010,9,188,1
2010,9,190,3
2010,9,197,2
2010,9,198,1
2010,9,203,1
2010,9,205,1
2010,10,20,2
2010,10,76,1
2010,10,113,3
2010,10,114,10
2010,10,115,7
2010,10,125,3
2010,10,127,4
2010,10,159,7
2010,10,166,1
2010,10,176,45
2010,10,177,3
2010,10,182,1
2010,10,183,1
2010,10,184,7
2010,10,187,2
2010,10,188,1
2010,10,190,1
2010,10,200,1
2010,10,201,1
2010,10,203,3
2010,10,205,1
2010,10,223,1
2010,11,76,3
2010,11,102,1
2010,11,114,10
2010,11,115,3
2010,11,125,8
2010,11,135,1
2010,11,136,1
2010,11,137,1
2010,11,141,4
2010,11,159,2
2010,11,164,1
2010,11,165,1
2010,11,176,79
2010,11,177,2
2010,11,182,1
2010,11,183,5
2010,11,184,21
2010,11,190,5
2010,11,197,1
2010,11,203,1
2010,11,209,2
2010,11,213,3
2010,11,218,1
2010,11,219,1
2010,11,227,1
2010,12,20,1
2010,12,76,3
2010,12,102,1
2010,12,113,1
2010,12,114,14
2010,12,115,4
2010,12,123,2
2010,12,125,8
2010,12,141,3
2010,12,159,2
2010,12,164,1
2010,12,165,1
2010,12,176,330
2010,12,177,3
2010,12,182,2
2010,12,183,5
2010,12,184,23
2010,12,185,1
2010,12,190,7
2010,12,196,1
2010,12,197,1
2010,12,200,2
2010,12,202,1
2010,12,223,2
2010,12,224,1
2011,1,20,2
2011,1,113,2
2011,1,114,6
2011,1,115,8
2011,1,125,5
2011,1,127,3
2011,1,129,12
2011,1,135,1
2011,1,140,1
2011,1,141,1
2011,1,159,5
2011,1,170,1
2011,1,176,395
2011,1,177,1
2011,1,182,2
2011,1,183,2
2011,1,184,18
2011,1,187,2
2011,1,190,4
2011,1,197,1
2011,1,198,1
2011,1,200,1
2011,1,203,5
2011,1,213,1
2011,1,218,3
2011,1,223,1
2011,1,234,2
2011,2,20,2
2011,2,76,2
2011,2,113,1
2011,2,114,10
2011,2,125,6
2011,2,127,1
2011,2,136,2
2011,2,140,2
2011,2,141,2
2011,2,158,1
2011,2,159,4
2011,2,164,1
2011,2,176,446
2011,2,177,5
2011,2,182,1
2011,2,183,1
2011,2,184,12
2011,2,187,1
2011,2,188,2
2011,2,190,4
2011,2,197,3
2011,2,200,8
2011,2,202,1
2011,2,203,3
2011,2,205,2
2011,2,213,1
2011,2,217,1
2011,2,218,3
2011,2,223,3
2011,2,234,2
2011,2,238,1
2011,3,76,2
2011,3,113,1
2011,3,114,22
2011,3,125,11
2011,3,135,2
2011,3,136,6
2011,3,141,1
2011,3,158,1
2011,3,164,1
2011,3,176,536
2011,3,177,3
2011,3,182,3
2011,3,183,10
2011,3,184,9
2011,3,187,7
2011,3,188,1
2011,3,190,19
2011,3,193,1
2011,3,198,2
2011,3,203,9
2011,3,217,2
2011,3,218,2
2011,3,223,7
2011,3,234,14
2011,3,238,1
2011,4,76,6
2011,4,113,1
2011,4,114,8
2011,4,125,4
2011,4,136,2
2011,4,141,11
2011,4,176,498
2011,4,182,3
2011,4,183,1
2011,4,184,12
2011,4,187,1
2011,4,190,11
2011,4,197,4
2011,4,198,2
2011,4,203,2
2011,4,217,1
2011,4,218,3
2011,4,219,1
2011,4,234,9
2011,4,238,6
2011,5,20,1
2011,5,76,1
2011,5,113,1
2011,5,114,9
2011,5,125,3
2011,5,140,1
2011,5,141,1
2011,5,164,3
2011,5,176,476
2011,5,177,3
2011,5,183,2
2011,5,184,19
2011,5,187,3
2011,5,190,2
2011,5,197,3
2011,5,198,2
2011,5,203,4
2011,5,205,1
2011,5,217,1
2011,5,218,1
2011,5,219,1
2011,5,223,7
2011,5,234,6
2011,5,238,1
2011,5,245,2
2011,6,76,4
2011,6,114,3
2011,6,125,6
2011,6,137,1
2011,6,140,1
2011,6,158,1
2011,6,159,1
2011,6,164,1
2011,6,170,1
2011,6,176,348
2011,6,183,1
2011,6,184,16
2011,6,185,1
2011,6,187,1
2011,6,197,2
2011,6,203,6
2011,6,217,1
2011,6,218,1
2011,6,223,1
2011,6,234,10
2011,6,237,1
2011,6,245,1
2011,6,246,1
2011,7,84,1
2011,7,113,2
2011,7,114,7
2011,7,125,1
2011,7,135,1
2011,7,138,3
2011,7,140,2
2011,7,141,1
2011,7,159,1
2011,7,176,354
2011,7,177,1
2011,7,182,1
2011,7,183,2
2011,7,184,9
2011,7,187,1
2011,7,190,2
2011,7,197,3
2011,7,198,1
2011,7,203,8
2011,7,205,1
2011,7,217,2
2011,7,218,3
2011,7,219,1
2011,7,221,5
2011,7,223,3
2011,7,234,13
2011,7,237,1
2011,7,238,1
2011,7,243,1
2011,7,245,3
2011,7,246,2
2011,7,247,1
2011,8,20,1
2011,8,114,5
2011,8,136,1
2011,8,141,1
2011,8,159,11
2011,8,164,1
2011,8,176,364
2011,8,177,3
2011,8,182,1
2011,8,184,14
2011,8,190,4
2011,8,197,1
2011,8,203,8
2011,8,205,1
2011,8,218,1
2011,8,221,4
2011,8,223,3
2011,8,234,5
2011,8,237,1
2011,8,238,1
2011,8,246,1
2011,8,247,3
2011,9,20,2
2011,9,76,2
2011,9,114,6
2011,9,125,1
2011,9,141,2
2011,9,159,4
2011,9,176,304
2011,9,177,4
2011,9,182,2
2011,9,184,13
2011,9,187,1
2011,9,190,1
2011,9,197,9
2011,9,203,4
2011,9,205,4
2011,9,218,2
2011,9,223,1
2011,9,224,2
2011,9,226,1
2011,9,234,6
2011,9,238,1
2011,9,244,2
2011,9,245,4
